From fa scan:
Fixed   = D(6,11,12,13), S, 55, 1.0000
Opposit = D(10,11,12,5)

      S0       S1  D_fixed  D_average
0.000063 0.082230 -49.4290  -47.91065
0.000106 0.082236 -48.4290  -47.24390
0.000165 0.082253 -47.4291  -46.58160
0.000240 0.082281 -46.4290  -45.91285
0.000329 0.082322 -45.4291  -45.26700
0.000434 0.082375 -44.4291  -44.62215
0.000555 0.082440 -43.4291  -43.98485
0.000691 0.082518 -42.4291  -43.35340
0.000844 0.082609 -41.4291  -42.72390
0.001014 0.082713 -40.4291  -42.09805
0.001201 0.082831 -39.4291  -41.47565
0.001406 0.082961 -38.4291  -40.85530
0.001627 0.083105 -37.4291  -40.23675
0.001866 0.083263 -36.4291  -39.62115
0.002123 0.083434 -35.4291  -39.00920
0.002398 0.083618 -34.4291  -38.39945
0.002691 0.083817 -33.4291  -37.79220
0.003003 0.084029 -32.4291  -37.18885
0.003333 0.084255 -31.4291  -36.58895
0.003681 0.084496 -30.4291  -35.99195
0.004047 0.084752 -29.4291  -35.39640
0.004433 0.085021 -28.4291  -34.80315
0.004837 0.085306 -27.4291  -34.21265
0.005259 0.085606 -26.4291  -33.62280
0.005699 0.085920 -25.4291  -33.03175
0.006158 0.086249 -24.4291  -32.44050
0.006636 0.086593 -23.4291  -31.84905
0.007133 0.086953 -22.4291  -31.25415
0.007649 0.087326 -21.4291  -30.65200
0.008186 0.087715 -20.4291  -30.04445
0.008743 0.088118 -19.4291  -29.43375
0.009321 0.088535 -18.4291  -28.81620
0.009921 0.088966 -17.4291  -28.18645
0.010546 0.089412 -16.4290  -27.54600
0.011218 0.089870 -15.4292  -26.86400
0.011902 0.090343 -14.4290  -26.19745
0.012651 0.090828 -13.4292  -25.44950
0.022053 0.087970 -12.4289   -6.69225
0.022111 0.087935 -11.4289   -5.76775
0.022152 0.087905 -10.4291   -4.86780
0.022182 0.087879  -9.4291   -3.98860
0.022190 0.087857  -8.4291   -3.11725
0.022194 0.087841  -7.4290   -2.25525
0.022187 0.087829  -6.4290   -1.40060
0.022174 0.087822  -5.4290   -0.55235
0.022152 0.087820  -4.4290    0.28600
0.022129 0.087823  -3.4291    1.11890
0.022095 0.087831  -2.4291    1.95005
0.022053 0.087843  -1.4291    2.77140
0.022004 0.087861  -0.4291    3.58630
0.021948 0.087884   0.5709    4.41185
0.021885 0.087911   1.5709    5.25440
0.021813 0.087942   2.5709    6.11355
0.021732 0.087976   3.5709    6.98010
0.021643 0.088012   4.5709    7.84715
0.021546 0.088052   5.5709    8.71720

From fb scan:
Fixed   = D(6,11,12,13), S, 55, -1.000
Opposit = D(10,11,12,5)

      S0       S1  D_fixed  D_average
0.000367 0.082720 -59.6549  -55.38670
0.000290 0.082635 -58.6549  -54.59410
0.000221 0.082557 -57.6549  -53.81210
0.000159 0.082485 -56.6549  -53.05265
0.000104 0.082422 -55.6549  -52.32050
0.000059 0.082366 -54.6549  -51.61025
0.000026 0.082321 -53.6549  -50.91385
0.000006 0.082285 -52.6549  -50.22385
0.000000 0.082259 -51.6549  -49.53340
0.000010 0.082243 -50.6549  -48.84165
0.000035 0.082238 -49.6549  -48.15255
0.000074 0.082242 -48.6549  -47.46930
0.000129 0.082257 -47.6549  -46.79050
0.000200 0.082283 -46.6549  -46.11285
0.000286 0.082320 -45.6549  -45.43550
0.000388 0.082368 -44.6549  -44.76395
0.000504 0.082428 -43.6549  -44.10505
0.000634 0.082500 -42.6549  -43.46135
0.000779 0.082585 -41.6549  -42.83055
0.000939 0.082683 -40.6549  -42.21045
0.001115 0.082794 -39.6549  -41.59915
0.001308 0.082918 -38.6549  -40.99430
0.001518 0.083057 -37.6549  -40.39245
0.001747 0.083210 -36.6548  -39.79155
0.001994 0.083377 -35.6548  -39.19115
0.002260 0.083558 -34.6548  -38.59075
0.002544 0.083753 -33.6548  -37.99225
0.002845 0.083963 -32.6548  -37.39775
0.003165 0.084186 -31.6548  -36.80720
0.003504 0.084424 -30.6548  -36.21910
0.003861 0.084677 -29.6548  -35.63205
0.004238 0.084945 -28.6548  -35.04450
0.004633 0.085227 -27.6549  -34.45650
0.005047 0.085525 -26.6549  -33.87000
0.005480 0.085837 -25.6549  -33.28565
0.005931 0.086164 -24.6548  -32.70725
0.006404 0.086505 -23.6551  -32.11125
0.006893 0.086862 -22.6551  -31.52325
0.019672 0.088408 -21.6550  -17.36755
0.020382 0.088383 -20.6550  -15.71940
0.020911 0.088345 -19.6549  -14.24460
0.021301 0.088299 -18.6549  -12.92030
0.021543 0.088250 -17.6549  -11.77065
0.021744 0.088199 -16.6549  -10.64870
0.021908 0.088148 -15.6549   -9.56850
0.022010 0.088097 -14.6549   -8.58260
0.022093 0.088050 -13.6549   -7.63330
0.022150 0.088007 -12.6549   -6.72790
0.022177 0.087968 -11.6549   -5.84315
0.022205 0.087935 -10.6549   -4.96985
0.022216 0.087906  -9.6548   -4.11365
0.022218 0.087883  -8.6548   -3.27255
0.022209 0.087865  -7.6548   -2.43445
0.022201 0.087852  -6.6548   -1.59435
0.022182 0.087845  -5.6549   -0.75050
0.022162 0.087842  -4.6549    0.09275
