From fa scan:
Fixed   = D(9,10,21,22), S, 20, 1.0000
Opposit = D(18,10,21,29)

      S0       S1  D_fixed  D_average
0.013577 0.101811 -16.9422  -28.08070
0.024447 0.101230 -15.9421  -17.66795
0.024814 0.101150 -14.9422  -16.70215
0.025152 0.101067 -13.9423  -15.75550
0.025431 0.100985 -12.9424  -14.84085
0.025673 0.100902 -11.9423  -13.93075
0.025883 0.100819 -10.9423  -13.04890
0.026080 0.100739  -9.9423  -12.18810
0.026206 0.100662  -8.9423  -11.36395
0.026340 0.100588  -7.9423  -10.54650
0.026475 0.100517  -6.9423   -9.72255
0.026607 0.100450  -5.9423   -8.89565
0.026716 0.100387  -4.9423   -8.09125
0.026807 0.100328  -3.9423   -7.30275
0.026892 0.100275  -2.9423   -6.51700
0.026969 0.100226  -1.9423   -5.73110
0.027037 0.100183  -0.9423   -4.95100
0.027092 0.100145   0.0577   -4.18015
0.027144 0.100114   1.0577   -3.41385
0.027194 0.100089   2.0577   -2.65170
0.027248 0.100070   3.0577   -1.89395

From fb scan:
Fixed   = D(9,10,21,22), S, 55, -1.000
Opposit = D(18,10,21,29)

      S0       S1  D_fixed  D_average
0.000000 0.097225 -49.6941  -49.85710
0.000057 0.097195 -48.6941  -49.20165
0.000132 0.097176 -47.6941  -48.55000
0.000227 0.097167 -46.6941  -47.89985
0.000340 0.097168 -45.6941  -47.24965
0.000466 0.097179 -44.6941  -46.59515
0.000611 0.097200 -43.6941  -45.94925
0.000767 0.097232 -42.6941  -45.30645
0.000937 0.097276 -41.6941  -44.67020
0.001125 0.097330 -40.6941  -44.04105
0.001330 0.097397 -39.6941  -43.41890
0.001557 0.097474 -38.6941  -42.80325
0.001809 0.097564 -37.6941  -42.19085
0.002086 0.097665 -36.6941  -41.58060
0.002389 0.097778 -35.6941  -40.97195
0.002712 0.097903 -34.6941  -40.35480
0.003061 0.098038 -33.6941  -39.74960
0.003427 0.098185 -32.6941  -39.13710
0.003813 0.098343 -31.6941  -38.53065
0.004205 0.098513 -30.6941  -37.91690
0.004622 0.098694 -29.6941  -37.30975
0.005056 0.098887 -28.6941  -36.69800
0.005510 0.099091 -27.6941  -36.08255
0.005993 0.099305 -26.6941  -35.44870
0.006498 0.099531 -25.6941  -34.81385
0.007042 0.099766 -24.6941  -34.16600
0.007626 0.100010 -23.6941  -33.51410
0.008274 0.100263 -22.6941  -32.83995
0.008976 0.100523 -21.6943  -32.13770
0.009708 0.100789 -20.6943  -31.41915
0.021572 0.101486 -19.6942  -22.51200
0.023015 0.101433 -18.6942  -20.63915
0.023634 0.101364 -17.6942  -19.47160
0.024122 0.101289 -16.6941  -18.41575
0.024553 0.101210 -15.6941  -17.42055
0.024917 0.101129 -14.6941  -16.46625
0.025205 0.101047 -13.6941  -15.53205
0.025479 0.100964 -12.6941  -14.61840
0.025761 0.100881 -11.6941  -13.68590
0.025945 0.100799 -10.6941  -12.81985
0.026100 0.100720  -9.6940  -11.98485
0.026239 0.100643  -8.6940  -11.16495
0.026372 0.100570  -7.6940  -10.35035
0.026522 0.100500  -6.6941   -9.51410
0.026651 0.100434  -5.6940   -8.69365
0.026758 0.100372  -4.6940   -7.89420
0.026848 0.100315  -3.6940   -7.10450
0.026927 0.100262  -2.6940   -6.31680
0.026999 0.100215  -1.6940   -5.53215
0.027060 0.100173  -0.6940   -4.75295
0.027110 0.100137   0.3060   -3.98105
0.027156 0.100107   1.3060   -3.21580
0.027204 0.100084   2.3060   -2.47055
0.027267 0.100066   3.3059   -1.71395
0.027308 0.100056   4.3059   -0.93835
0.027381 0.100052   5.3059   -0.20105
